# calendarId=krx-equity-2026-rules-v1
# coverageStart=2026-01-01
# coverageEnd=2060-12-31
# verifiedThrough=2026-12-31
# projectedRange=2027-01-01/2060-12-31
# ruleSetVersion=kr-public-holidays-and-krx-closures-2026-v1
# lunarAnchorVersion=korean-lunisolar-anchors-2026-2060-v1
# sourceKrx=https://global.krx.co.kr/contents/GLB/06/0602/0602010201/GLB0602010201T1.jsp
# sourceKasi=https://www.kasi.re.kr/kor/post/newsMaterial/32031
# sourceNec=https://www.nec.go.kr/common/board/Download.do?bcIdx=227983&cbIdx=1129&streFileNm=4d70b48b-4072-4daa-b2fd-4f674c542639.pdf
# generatedBy=generate_krx_calendar.py
date,provenance,label
2026-01-01,krxPublished,신정
2026-02-16,krxPublished,설날
2026-02-17,krxPublished,설날
2026-02-18,krxPublished,설날
2026-03-01,krxPublished,삼일절
2026-03-02,krxPublished,대체공휴일(삼일절)
2026-05-01,krxPublished,근로자의 날
2026-05-05,krxPublished,어린이날
2026-05-24,krxPublished,부처님오신날
2026-05-25,krxPublished,대체공휴일(부처님오신날)
2026-06-03,krxPublished,제9회 전국동시지방선거
2026-06-06,krxPublished,현충일
2026-08-15,krxPublished,광복절
2026-08-17,krxPublished,대체공휴일(광복절)
2026-09-24,krxPublished,추석
2026-09-25,krxPublished,추석
2026-09-26,krxPublished,추석
2026-10-03,krxPublished,개천절
2026-10-05,krxPublished,대체공휴일(개천절)
2026-10-09,krxPublished,한글날
2026-12-25,krxPublished,기독탄신일
2026-12-31,krxPublished,연말 휴장일
2027-01-01,statutoryProjected,신정
2027-02-06,statutoryProjected,설날
2027-02-07,statutoryProjected,설날
2027-02-08,statutoryProjected,설날
2027-02-09,statutoryProjected,대체공휴일(설날)
2027-03-01,statutoryProjected,삼일절
2027-05-01,krxRuleProjected,근로자의 날
2027-05-05,statutoryProjected,어린이날
2027-05-13,statutoryProjected,부처님오신날
2027-06-06,statutoryProjected,현충일
2027-08-15,statutoryProjected,광복절
2027-08-16,statutoryProjected,대체공휴일(광복절)
2027-09-14,statutoryProjected,추석
2027-09-15,statutoryProjected,추석
2027-09-16,statutoryProjected,추석
2027-10-03,statutoryProjected,개천절
2027-10-04,statutoryProjected,대체공휴일(개천절)
2027-10-09,statutoryProjected,한글날
2027-10-11,statutoryProjected,대체공휴일(한글날)
2027-12-25,statutoryProjected,기독탄신일
2027-12-27,statutoryProjected,대체공휴일(기독탄신일)
2027-12-31,krxRuleProjected,연말 휴장일
2028-01-01,statutoryProjected,신정
2028-01-26,statutoryProjected,설날
2028-01-27,statutoryProjected,설날
2028-01-28,statutoryProjected,설날
2028-03-01,statutoryProjected,삼일절
2028-05-01,krxRuleProjected,근로자의 날
2028-05-02,statutoryProjected,부처님오신날
2028-05-05,statutoryProjected,어린이날
2028-06-06,statutoryProjected,현충일
2028-08-15,statutoryProjected,광복절
2028-10-02,statutoryProjected,추석
2028-10-03,statutoryProjected,개천절
2028-10-03,statutoryProjected,추석
2028-10-04,statutoryProjected,추석
2028-10-05,statutoryProjected,대체공휴일(추석·개천절)
2028-10-09,statutoryProjected,한글날
2028-12-25,statutoryProjected,기독탄신일
2028-12-29,krxRuleProjected,연말 휴장일
2029-01-01,statutoryProjected,신정
2029-02-12,statutoryProjected,설날
2029-02-13,statutoryProjected,설날
2029-02-14,statutoryProjected,설날
2029-03-01,statutoryProjected,삼일절
2029-05-01,krxRuleProjected,근로자의 날
2029-05-05,statutoryProjected,어린이날
2029-05-07,statutoryProjected,대체공휴일(어린이날)
2029-05-20,statutoryProjected,부처님오신날
2029-05-21,statutoryProjected,대체공휴일(부처님오신날)
